product_name,manufacturer,cleaned_datasheet_text
SFA (Smart Feedback Adapter) Datasheet,Kollmorgen,sfa smart feedback adapter datasheetthe servo drive is optimized for single hybrid cable technology using hiperface dsl or options for using conventional feedback kollmorgen offers the smart feedback adapter sfa resolver feedback adapater cable with din rail clip feedback adapter cable with din rail clip important notes refer to the installation manual for drive systemintegration kollmorgen feedback cables are described in the cable guide all manuals are located on read the installation manual before installation and commissioning improperhandling of the device can cause damage to property the operator of systems using thesfa must ensure that all personnel who work with the system read and understand installation manual before using the device sfa adapter may only be connected to or of an drive in adapter must be mounted by din rail or laid into cable kollmorgen feedback cables may be used for connecting feedback to of thesfa specialist staff required only properly qualified personnel are permitted to perform such tasks as transport installation and setup logistics only by personnel with knowledge of handling electrostatically sensitive installation only by personnel with mechanical installation only by personnel with expertise in electrical tests setup only by personnel with expertise in electrical engineering and drive technology the personnel must observe iso iec iec and national accident prevention regulations use as directed the sfa adapter is exclusively intended for connecting conventional feedback systems to input on adapters may only be operated in environments suitable for the ambient conditions defined in installation kollmorgen cables may be used for connecting the system components prohibited use other use than that described in section use as directed is not intended and can lead to equipment adapter may not be used with machine that does not comply with appropriate national directives orstandards it is not allowed to change kollmorgen cables or adapters dimensions in mm kollmorgen july connect the flying leads of the sfa cable to the and ground the feedback cable shield near the sfa operating voltage to maximum load current supported feedback types pinout pin sfd sin sin hall hall hall incr enc hall ssi dir ccw hall hall hall hall hall hall cl clock data sense th thermal control zero resolver with only all other feedback devices with only north west rock roadradford va usa europekollmorgen europe gmbhpempelfurtstraße ratingen italykollmorgen srllargo brughetti bovisio masciago mi web web kollmorgen july
"EC Series Position Sensor Data Sheet (EC, N2, NV)",Kollmorgen,position sensor specifications for sensors used on ec and nv series electric cylinders sensor series sensor type output type led color mechanical reed contact closure sinking open collector npn sourcing pnp norm open norm closed norm open norm closed norm open norm closed number of leads voltage ylppus leakage current max dc maximum tuac maximum ptuo current max power max operating temp storage temp environmental rating not compatible with idc motion controllers psr reed switch more noise immunity emi does not require power supply slightly lower cost does not work with inductive loads switches ac voltages can be used with sinking or sourcing inputs iec standard if you ordered you should have received sensor with cable sensor with cable sensor with cable sensor with no cable sensor with cable sensor with cable sensor with cable sensor with no cable this part number is intended to be ordered as replacement part for those already using the quick disconnect option psn and psp switches if you ordered you should have received higher tolerance to vibration greater durability and reliability requires external dc power readily able from idc controls best used for long cable lengths greater than meters option idc position sensors may be ordered with convenient cable as shown here sensor with cable sensor with cable sensor with cable sensor with no cable sensor with cable sensor with cable sensor with cable sensor with no cable sensor with cable sensor with cable sensor with cable sensor with no cable sensor with cable sensor with cable sensor with cable sensor with no cable this part number is intended to be ordered as replacement part for those already using the quick disconnect option kollmorgen west rock road radford va usa position sensors sheet rev position sensor installation the diagrams below show sensor mounting locations when cylinder magnet and sensor are physically aligned cauti when installing the sensor tighten the clamp screw to maximum of torque failure to heed this caution could cause irreparable damage to the sensor tighten the clamp screw gently and only to the point where the sensor assembly feels secure and does not slide along the cylinder wall important installation notes position sensors may be mounted along either side of cylinder note each eot sensor consumes of stroke length remember to add if you have an sensor or you have home limit that is sitting at the end of travel full retraction if you have sensors one at each end of travel then you must add to the stroke length any sensors in the middle of travel do not require additional length distance between sensors should be inches or more if sensors are located closer than inches apart they may trigger at the same time using position sensors for protection reduces effective travel distance consult the factory reed or npn position sensors the connection diagrams below show wiring color codes and controller inputs for connecting each series of position sensor sensor connection diagrams note the black wire in quick disconnect cables is not used with any version of the psr reed sensor in the above drawing only the blue wire brown wire and shield are connected psr reed sensor psn sensor psp sensor locations cylinders these locations are recommended as starting point when setting up cylinder for the first time depending on the speed and payload of the application sensors may be moved inward to prevent crash when the load travels at full speed past limit switch dimensions and are approximate locations for the position sensors acme ball illips ead crew locations ec cylinders dimensions and are approximate locations for the position sensors series series series series to iew ylinder illip cre ide iew of ylind er psp sensor is not compatible with idc controls position sensors sheet rev
QMP SynqNet Datasheet EN Rev D,Kollmorgen,high performance motion series motion controllers experience seamless performance series hardware specification key benefits synqnet motion controller increased shared memory map architecture results in minimized controller latency for the fastest possible motion response and maximized machine throughput motion and gain set modifications improve machine throughput by minimizing cycle and settling times improved flexibility optimized to work with mechaware and designed for machines with custom control needs or control requirements reduced system operating system support reduces overall system cost by enabling deterministic usage of host processor for optimized machine design reduced development tight coordination between motion and using the synqnet network reduces machine development costs by providing system visibility and motion optimization the series controllers provide machine builders with the ultimate in motion control the qmp controllers utilize scalable powerpc platform with speeds up to for optimum flexibility and speed with significant increase in processing power the qmp family of controllers are optimized to work with for the ultimate in precision control schemes available in pci and pcie form factors the series controllers offer servo update rates up to allowing optimum control of machines requiring high levels of coordination and synchronization between axes develop motion applications for the qmp family of controllers with the mpi programming library for decrease development costs with our mechaware software tool by implementing your machine knowledge on the controller without custom control hardware or firmware synqnet platform overview launched in synqnet is digital machine control network specifically designed to meet the flexibility performance and safety requirements of today demanding machine control applicatins built on the physical layer synqnet provides synchronous connection between motion controllers servo drivers stepper drives modules and custom devices network bandwidth for servo updates up to khz supports up to nodes with axes diagnostics over synqnet gigabit ready for future synqnet performance enhancements fault tolerant operation using ring technology hotreplace allowing replacement of node without network shutdown custom nodes dd idrives and motors over axes installed worldwide interoperable network synqnet connectivity diagram synqnet drives and motors akdeakd akm motor synqnet synqnet controller slice synqnet adapter slices synqnet drives and motorsakd akm motor synqnet controllersynqnet controller pposition input input position position synqnet sqid each input event can capture positions of multiple axes part numbers part number servo loop board interface user update rate axes update rate axes update rate form factor host bus pci bus speed memory inteface user programmable synqnet interface high density standard pci universal pci direct memory map inputs outputs estop input output low voltage input high voltage on input low voltage off kinematic ranges position velocity acceleration jerk bit floating point operating temperature storage temperature air flow software requirements mpi version or greater synqnet outsynqnet in user pinouts and connector information synqnet connectoramp connectorsmfg mating connectoramp connectors mfg recommended user connectorfemale high density user mating connectormale high density user high density connector update rate servo loop axes update rate board interface axes update rate form factor host bus cpci bus speed memory inteface user programmable synqnet interface user high density pci express pcie direct memory map inputs outputs estop input kinematic ranges position velocity acceleration jerk bit floating point user output low voltage input high voltage on input low voltage off operating temperature storage temperature air flow software requirements mpi mpi version or greater synqnet outsynqnet in user pinouts and connector information synqnet connectoramp connectorsmfg mating connectoramp connectors mfg recommended user connectorfemale high density user mating connectormale high density user high density connector servo loop board interface user update rate axes update rate axes update rate form factor host bus cpci bus speed memory inteface user programmable synqnet interface high density compact pci universal cpci direct memory map inputs outputs estop input output low voltage input high voltage on input low voltage off kinematic ranges position velocity acceleration jerk bit floating point synqnet out synqnet in user pinouts and connector information synqnet connectoramp connectorsmfg mating connectoramp connectors mfg recommended operating temperature storage temperature air flow software requirements mpi version or greater user connectorfemale high density user mating connectormale high density user high density connector about kollmorgen kollmorgen is leading provider of motion systems and components for machine builders through knowledge in motion quality and deep expertise in linking and integrating standard and custom products kollmorgen delivers breakthrough solutions that are unmatched in performance reliability and giving machine builders an irrefutable marketplace advantage for assistance with your application needs contact us at or visit application centers global design manufacturing global manufacturing fond du lacmarengo santa barbara tel aviv hong kong qmp synqnet datasheet rev series motion controllers kollmorgen corporation all rights reserved specifications are subject to change without notice it is the responsibility of the product user to determine the suitability of this product for specific application all trademarks property of their respective owners
QMP SynqNet Datasheet EN Rev C,Kollmorgen,high performance motion series motion controllers experience seamless performance series hardware specification key benefits synqnet motion controller increased shared memory map architecture results in minimized controller latency for the fastest possible motion response and maximized machine throughput motion and gain set modifications improve machine throughput by minimizing cycle and settling times improved flexibility optimized to work with mechaware and designed for machines with custom control needs or control requirements reduced system operating system support reduces overall system cost by enabling deterministic usage of host processor for optimized machine design reduced development tight coordination between motion and using the synqnet network reduces machine development costs by providing system visibility and motion optimization the series controllers provide machine builders with the ultimate in motion control the qmp controllers utilize scalable powerpc platform with speeds up to for optimum flexibility and speed with significant increase in processing power the qmp family of controllers are optimized to work with for the ultimate in precision control schemes available in pci and pcie form factors the series controllers offer servo update rates up to allowing optimum control of machines requiring high levels of coordination and synchronization between axes develop motion applications for the qmp family of controllers with the mpi programming library for decrease development costs with our mechaware software tool by implementing your machine knowledge on the controller without custom control hardware or firmware synqnet platform overview launched in synqnet is digital machine control network specifically designed to meet the flexibility performance and safety requirements of today demanding machine control applicatins built on the physical layer synqnet provides synchronous connection between motion controllers servo drivers stepper drives modules and custom devices network bandwidth for servo updates up to khz supports up to nodes with axes diagnostics over synqnet gigabit ready for future synqnet performance enhancements fault tolerant operation using ring technology hotreplace allowing replacement of node without network shutdown custom nodes dd idrives and motors over axes installed worldwide interoperable network synqnet connectivity diagram synqnet drives and motors akdeakd akm motor synqnet synqnet controller slice synqnet adapter slices synqnet drives and motorsakd akm motor synqnet controllersynqnet controller pposition input input position position synqnet sqid each input event can capture positions of multiple axes part numbers part number servo loop board interface update rate axes update rate axes update rate form factor host bus pci bus speed memory inteface user programmable synqnet interface high density standard pci universal pci direct memory map inputs outputs estop input user output low voltage input high voltage on input low voltage off kinematic ranges position velocity acceleration jerk bit floating point storage temperature operating temperature software requirements mpi version or greater synqnet outsynqnet in user pinouts and connector information synqnet connectoramp connectorsmfg mating connectoramp connectors mfg recommended user connectorfemale high density user mating connectormale high density user high density connector update rate servo loop axes update rate board interface axes update rate form factor host bus cpci bus speed memory inteface user programmable synqnet interface user high density pci express pcie direct memory map inputs outputs estop input user output low voltage input high voltage on input low voltage off kinematic ranges position velocity acceleration jerk bit floating point operating temperature storage temperature air flow software requirements mpi mpi version or greater synqnet outsynqnet in user pinouts and connector information synqnet connectoramp connectorsmfg mating connectoramp connectors mfg recommended user connectorfemale high density user mating connectormale high density user high density connector servo loop board interface user update rate axes update rate axes update rate form factor host bus cpci bus speed memory inteface user programmable synqnet interface high density compact pci universal cpci direct memory map inputs outputs estop input output low voltage input high voltage on input low voltage off synqnet out synqnet in user pinouts and connector information synqnet connectoramp connectorsmfg mating connectoramp connectors mfg recommended kinematic ranges position velocity acceleration jerk bit floating point storage temperature operating temperature software requirements mpi version or greater user connectorfemale high density user mating connectormale high density user high density connector about kollmorgen kollmorgen is leading provider of motion systems and components for machine builders through knowledge in motion quality and deep expertise in linking and integrating standard and custom products kollmorgen delivers breakthrough solutions that are unmatched in performance reliability and giving machine builders an irrefutable marketplace advantage for assistance with your application needs contact us at or visit application centers global design manufacturing global manufacturing fond du lacmarengo santa barbara tel aviv hong kong qmp synqnet datasheet rev series motion controllers kollmorgen corporation all rights reserved specifications are subject to change without notice it is the responsibility of the product user to determine the suitability of this product for specific application all trademarks property of their respective owners
AKD-xzzzz-0069 Datasheet EN (REV 01/2019),Kollmorgen,data sheet for low voltage supply this document describes special data for the low voltage akd drive all standard data safety notes mountingand wiring information is given in the akd installation manual available from the kollmorgen website technical data dataelectrical data rated supply voltage rated input power for operation rated input current permitted switch frequency mains max inrush current rated dc bus link voltage continuous outputcurrent peak output current for continuous output power rated input current peak output power for at dcdata for regen circuit regen power and external regen resistor data see akd installation manual threshold of regen circuit threshold of regen circuit over voltage treshold aux voltage supply types motor brake type motor brake mechanical data weight standard width height without connectors height with connector standard width extended width depth without connectors depth with connectors kollmorgen january dc power supply connection signal power power protective earth signal power power protective earth signal power power protective earth join the kollmorgen developer network for product support ask the community questions searchthe knowledge base for answers get downloads and suggest improvements north west rock roadradford va usa europekollmorgen europe gmbhpempelfurtstr ratingen germany china and seakollmorgenroom building lihpao shenbin road minhang district shanghai china web kollmorgen january
KAS IO Module Datasheet (AKT-PS-024_PSF-024) EN (REV B),Kollmorgen,dc power supplies the power feed terminals make it possible to set up various potential groups with the standard voltages of dc the power feed terminals are available with or without fuse in order to monitor the supply voltage the terminals with diagnostics report the status of the power feed terminal to the bus coupler through two input bits it is thus possible for the controller to check the distributed peripheral voltage over the fieldbus error led supply input supply input power led power contact power contact power contact supply input supply input electrical and mechanical specification nominal voltage integrated fuse power led defect led reported to pe contact shield connection renewed infeed connection facility to additional power contact looped through bit width in the process image connection to din rail electrical isolation housing width in mm side by side mounting on bus terminals with power contact side by side mounting on bus terminals without power contact power led power contact power contact power contact pluggable wiring for all bus terminals for all bus terminals kollmorgen corporation all rights reserved specifications are subject to change without notice it is the responsibility of the product user to determine the suitability of this product for specific application all trademarks are the property of their respective owners
KAS HMI Datasheet (AKI2G CDA and CDB) EN (REV A),Kollmorgen,serieshigh performance hmi empower your solution with our high performing operator panels our new series hmis offers stylish design with excellent performance get the most out of your operator interface with kollmorgen visualization builder the basic model is the obvious choice when requiring high value and reliable hmi panel available in and inches when only the best is good enough we recommend our advanced hmi with for all applications available in and inches high performing cost efficient and full functionality hmi panel our basic industrial hmi offers high resolution and modern design the panel combine corrosion resistant plastic housing with the full version of kollmorgen visualization builder providing yet advanced hmi solution for small to medium applications available in and inches wide screen formataki operator panels offer wide screen format designed to succeed the traditional square aspect ratio ul ce fcc and kcc certificatesthe entire aki operator panel range offers strong standard certification with ul ce fcc and kcc certificates power efficient processorspower efficient processor provides strong performance for small and medium sized applications corrosion resistant plastic housing corrosion resistant plastic housingwith front resistant to direct rain snow or dirt grime and dust operating temperature to cthe to operating temperature range satisfies the demands of most industries all the communication ports you needaki basic operator panels offers ethernet serial usb as standard securing ample communication with other equipment see page for technical data high technology hmis for all your automation needs our advanced series hmis offers range of high performance industrial panels designed for demanding applications all with high performance arm processors the latest screen technology and wide range of connectivity options to cover all your automation needs available in and inches wide screen panels offer wide screen format designed to succeed the traditional square aspect ratio ul ce fcc and kcc certificates the entire range offers strong standard certification with ul ce fcc and kcc certificates powerful arm processorpowerful single or dual core arm processor delivers fast screen changes and program execution in demanding applications robust aluminum housingrobust aluminum housing with nema and ul type front resistant to direct rain snow or dirt grime and dust wide operating temperature to the wide to operating temperature range satisfies the demands of most industries marine certifications the panels meet extended classes of marine certifications not normally carried by hmis making them suitable for all onboard locations sd memory cardcard holder and usb connection are located behind the lid on the back of the panel for smart memory expansion project backup and application loading see page for technical data benefits quickly create optimize and validate motion components and templates reuse and customize function blocks to suit many different applications customize the development environment to suit your working style simplify programming of complex automation systems that incorporate multiple types of components and configurations integrate plc programming within the same environment you use to define system topology and components create cam profiles test and debug motion programs and more open architecture provides consistent support for both iec and programming constructs in single environment graphical programming environment ensures consistency and convenience programmed modules can easily be modified and reused increasing development speed feature automatically brings kollmorgen controllers devices drives motors and other hardware components into the development environment programming language interchangeability allows seamless integration of different languages for different programming tasks and even translates one iec language to another offline development and simulation capabilities allow you to create and test solutions without deploying the target hardware or putting physical components at risk graphical cam editor makes it easy to import create modify and reuse complex cam profiles software oscilloscope and standard debugging features simplify troubleshooting and customizable workspacearrange your tool windows pin or dock them or float them over and outside your editing space cross referenceedit tag names at one place and it will reflect through the whole project get an overview or trace specific tags panel wizardget head start just select target panel and driver in the panel wizard and you are ready to start new project tag browseruse the tag browser to connect tags to objects in screen and to search for specific tags or create directly when connecting helpsimply press wherever you are in the developer environment and the manual opens with relevant information of the feature easy to arrangeuse auto alignment with guidelines to position objects on the screen arrange group resize align and distribute screenobjects with right click template screensincrease brand consistency with uniform corporate screens and objects reuse your templates instead of maintaining individualbackground screens smart property gridview all properties only changed or your personal favorites easily edit copy or compare the properties or actions of anyobject simulation and online simulation with or without live data from controllers provides safe and reliable tests of hmi applications aliasreuse screens without having to create new duplicated screen tags are connected at one place only and one screen can bereused for several machines faceplates etc multiple objects editingmake multiple changes by selecting several objects and configuring them simultaneously with just one mouse allows fast and efficient editing project backupbackup your project and export to usb at any time use the ethernet connection or usb to update your panel on site upload projectprojects can be and uploaded from the panel including password protected supports of tags alarms texts translations symbols etc technical data technical data general description part number mechanical size touch type size housing material input voltage power consumption input fuse size diagonal backlight life time backlight brightness backlight dimming display type display pixel error communication serial number of serial ports serial port serial port serial port serial port ethernet communication number of ethernet ports ethernet port ethernet port expansion interface expansion port sd card operating temperature storage temperature sealing front sealing back ce fcc kcc plastic gray dc to vdc ce the power supply must conform with the requirements according to iec and iec ul and cul the power supply must conform with the requirements for class ii power supplies internal dc fuse mb mb free for application storage diagonal diagonal led backlight industrial dimming with led backlight port dsub general description part number mechanical size touch type size housing material input voltage power consumption input fuse size diagonal backlight life time backlight brightness backlight dimming display type display pixel error communication serial number of serial ports serial port serial port serial port ethernet communication number of ethernet ports ethernet port ethernet port expansion interface expansion port sd card operating temperature storage temperature sealing front sealing back ce fcc kcc dnv kr gl lr abs ccs aluminum gray dc to vdc ce the power supply must conform with the requirements according to iec and iec ul and cul the power supply must conform with the requirements for class ii power supplies internal dc fuse single dual ssd emmc free for application storage diagonal led backlight industrial dimming with led backlight port dsub yes cix expansion module sd and sdhc upgrade your solution it is quick and easy hardware upgrade to aki series use the migration tables to find the right panel when you want to upgrade your existing kollmorgen hmi solution to the new aki operator panels from aki to serial ports ports connections ports connections brightness sd card sealing class application memory intel atom ghz serial port layout communication cda mbit communication cdb sd card serial ports brightness sd card sealing class application memory ports connections ce fcc kcc port connections single dual ce fcc kcc dnv kr gl lr abs ccs can only be used if is sd card opc da communication opc da communication is not supported in change to opc ua instead kollmorgen sales support north america kollmorgen west rock road radford va usaphone fax germany rest of europe middle east africa kollmorgen europe gmbhpempelfurtstraße ratingen germany phone fax support technique asia mainland china address rm building lane linhong rd changning district shanghai china phone south americakollmorgenavenida tamboré tamboré baruerisp brazilcep brazil kollmorgen is leading supplier of motion systems and components for machine builders through the knowledge in motion quality and deep expertise in linking and integrating standard and custom products kollmorgen delivers breakthrough and are unmatched in performance reliability and giving machines builders an irrefutable marketplace advantage
AKD-xzzzz-0069 Datasheet EN (REV 7/2017),Kollmorgen,data sheet for low voltage supply this document describes special data for the low voltage akd drive all standard data safety notes mountingand wiring information is given in the akd installation manual available from the kollmorgen website technical data dataelectrical data rated supply voltage rated input power for operation rated input current permitted switch frequency mains max inrush current rated dc bus link voltage continuous outputcurrent peak output current for continuous output power rated input current peak output power for at dcdata for regen circuit regen power and external regen resistor data see akd installation manual threshold of regen circuit threshold of regen circuit over voltage treshold aux voltage supply types motor brake type motor brake mechanical data weight standard width height without connectors height with connector standard width extended width depth without connectors depth with connectors kollmorgen july dc power supply connection signal power power protective earth signal power power protective earth signal power power protective earth join the kollmorgen developer network for product support ask the community questions searchthe knowledge base for answers get downloads and suggest improvements north west rock roadradford va europekollmorgen europe gmbhpempelfurtstraße ratingengermany china and seakollmorgenroom building lane lin hong road changning districtshanghai web kollmorgen july
KSM 121 Safety Controller Datasheet EN (REV A),Kollmorgen,cm my cy cmy extension componentries axis componentrie ksm for more informations please visit our website product ksm expansion module for safe motion of one drive axes with enhanced encoder interface the module is suitable for the usewith an series module the module will be connected to the basic module via the justby snapping it on the head rail the module supports encoder solutions resolver and also encoder solutions variable combination of encoders possible the module provides safe inputs for connecting safety related peripherals encoderinterface for front side and htl using terminal clamps safe inputs cross circuit monitoring by pulse outputs of the basic module comprehensive diagnostics implemented in fw powersupply via basic module pin out terminal diagram sensorpowersupply of sensor sensorpowersupply of sensor digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in digital in digital in digital in digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible technical data safety characteristics general data electrical data environmental data mechanical data pl in accordance to en sil in accordance to en safe digital input lines type of connectors drive monitoring number of axis sil years max period of application pluggable terminals axis encoder interface frontside max frequency inkr tll clock ssi type of connectors master mode mode max khz encoder interface terminals max frequency htl type of connectors power consumption rated data digital in protection rating climate class size hxdxw mm pluggable terminals mounting on standard head rail the variable encoder power supply has to be provided external it will be internal monitored sensor interface pin out incremental encoder absolut encoder ssi listener digital inputs data data ksm sketch example decentral enhanced modules orstandard fieldbus interface max terminal main valve power supply vdc sensor power supply valve up valve down full documentation availableon the kollmorgen akd product dvd kollmorgen europe gmbhpempelfurtstr ratingengermany order information extension componentrie with single monitored axis safety without limits
KSM 122A Safety Controller Datasheet EN (REV A),Kollmorgen,cm my cy cmy extension componentries axis componentrie ksm for more informations please visit our website product ksm expansion module for safe motion of two drive axes with enhanced encoder interface the module is suitable for the usewith an series module the module will be connected to the basic module via the justby snapping it on the head rail the module supports encoder solutions resolver and also encoder solutions variable combination of encoders possible the module provides safe inputs for connecting safety related peripherals encoderinterface for front side and htl using terminal clamps safe inputs safe analog in cross circuit monitoring by pulse outputs of the basic module comprehensive diagnostics implemented in fw powersupply via basic module technical data safety characteristics general data electrical data environmental data mechanical data pl in accordance to en sil in accordance to en safe digital input lines type of connectors safe drive monitoring number of axis sil years max period of application pluggable terminals axis encoder interface frontside max frequency inkr tll clock ssi type of connectors master mode mode max khz encoder interface terminals max frequency htl type of connectors power consumption rated data digital in protection rating climate class size hxdxw mm pluggable terminals mounting on standard head rail max terminal pin out terminal diagram sensorpowersupply of sensor sensorpowersupply of sensor digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in digital in digital in digital in digital in ossd compatible digital in ossd compatible digital in ossd compatible digital in ossd compatible sensorpowersupply sensorpowersupply analog in analog in analog in analog in analog in analog in analog in analog in the variable encoder power supply has to be provided external it will be internal monitored sensor interface pin out incremental encoder absolut encoder ssi listener data data digital inputs safe analog in ksm sketch example decentral enhanced modules orstandard fieldbus interface position measurementchannel hoistsensor position measurementchannel hoistsensor ksm power vdc valve up valve down main valve power supply vdc full documentation availableon the kollmorgen akd product dvd drive drive kollmorgen europe gmbhpempelfurtstr ratingengermany order information extension componentrie with double monitored axis safety without limits
